# Server version 0.08 running on Pascal:8123
# Game ID: 3
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Wed Mar 02 23:34:32 EST 2016
# Player 1: Player-0, 'Human', running on Pascal
# Player 2: Player-1, 'RandomHusPlayer', running on Pascal
START Player-0 Human
START Player-1 RandomHusPlayer
PIT 0 6
PIT 1 3
PIT 0 12
PIT 1 16
PIT 0 22
PIT 1 9
PIT 0 9
PIT 1 1
PIT 0 21
PIT 1 6
PIT 0 10
PIT 1 22
PIT 0 16
PIT 1 15
PIT 0 24
PIT 1 0
PIT 0 25
PIT 1 26
PIT 0 3
PIT 1 27
PIT 0 29
PIT 1 4
PIT 0 31
PIT 1 6
PIT 0 7
PIT 1 7
PIT 0 19
PIT 1 11
PIT 0 10
PIT 1 5
PIT 0 18
PIT 1 14
PIT 0 21
PIT 1 15
PIT 0 23
GAMEOVER WINNER 0
# Game ended: Wed Mar 02 23:35:20 EST 2016
