# Server version 0.08 running on Pascal:8123
# Game ID: 31
# Board class: hus.HusBoard
# Timeout: 300000
# First Move Timeout: 300000
# Date: Tue Apr 12 18:51:58 EDT 2016
# Player 1: Player-0, 'RandomHusPlayer', running on Pascal
# Player 2: Player-1, '260585900', running on Pascal
START Player-0 RandomHusPlayer
START Player-1 260585900
PIT 0 6
PIT 1 4
PIT 0 3
PIT 1 14
PIT 0 16
PIT 1 10
PIT 0 12
PIT 1 3
PIT 0 17
PIT 1 23
PIT 0 22
PIT 1 15
PIT 0 2
PIT 1 17
PIT 0 18
PIT 1 21
PIT 0 14
PIT 1 24
PIT 0 15
PIT 1 20
PIT 0 21
PIT 1 2
PIT 0 2
PIT 1 1
PIT 0 30
PIT 1 19
PIT 0 24
PIT 1 0
PIT 0 23
PIT 1 5
PIT 0 30
PIT 1 6
PIT 0 15
PIT 1 9
PIT 0 25
PIT 1 10
PIT 0 22
PIT 1 11
PIT 0 7
PIT 1 16
PIT 0 12
PIT 1 17
PIT 0 14
PIT 1 18
PIT 0 29
GAMEOVER WINNER 0
# Game ended: Tue Apr 12 18:51:59 EDT 2016
